State,County,Deaths,Food Environment Index,National Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,National Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),% Adults with Diabetes,95% CI - Low,95% CI - High,% Adults with Obesity,95% CI - Low,95% CI - High,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Food Insecure,% Food Insecure,Segregation Index,Population,Population Size,,,,,Population,
Alaska,Hoonah-Angoon,,5,2.11,27,16,39,1.01,21,,,4,,10,9,12,32,25,40,669,31,350,15,,2262,Small,,,,,,
Alaska,Northwest Arctic,148,4.6,2.46,23,13,33,0.49,27,,,,12,14,12,16,38,30,46,2198,29,1350,18,,7361,Small,,,,,,
Alaska,Nome,191,6.1,1.18,23,14,32,0.49,28,,,8,1,14,12,16,37,31,44,1442,15,1760,18,,9763,Small,,,,,,
Alaska,Aleutians East,,7.3,0.15,19,12,26,-0.05,,,,,,13,11,14,31,24,38,458,15,420,12,,3461,Small,,,,,,
Alaska,Bristol Bay,,7.3,0.15,18,10,26,-0.13,12,,,,16,9,8,11,32,25,40,116,12,120,14,,844,Small,,,,,,
Alaska,Kodiak Island,153,7.8,-0.27,9,5,12,-1.26,20,20,,6,,9,8,11,30,24,37,1560,11,1520,12,,12565,Small,,,,,,
Alaska,Haines,,7.7,-0.19,13,8,19,-0.73,,,,,,7,6,9,33,26,40,253,10,270,13,,2070,Small,,,,,,
Alaska,Southeast Fairbanks,119,7.2,0.24,14,8,20,-0.62,24,,,80,10,9,8,11,37,32,43,695,10,1030,15,,7077,Small,,,,,,
Alaska,Prince of Wales-Hyder,147,6.9,0.49,22,13,31,0.38,16,,,28,18,11,9,12,38,31,45,491,9,960,17,,5696,Small,,,,,,
Alaska,Matanuska-Susitna,1550,8,-0.44,11,8,13,-1.05,23,23,2,15,11,9,8,10,31,28,35,7286,8,13390,12,39,115239,Large,,,,,,
Alaska,Kenai Peninsula,943,7.7,-0.19,12,8,17,-0.85,23,1,,8,15,8,7,9,32,27,36,4359,8,8030,14,52,61223,Small,,,,,,
Alaska,Aleutians West,,7.9,-0.36,5,3,7,-1.76,12,11,,21,,11,10,13,29,23,36,434,8,670,13,,5160,Small,,,,,,
Alaska,Fairbanks North Star,1195,8.3,-0.7,8,5,11,-1.37,3,1,45,5,4,8,7,9,32,28,36,7544,8,10730,11,50,94840,Small,,,,,,
Alaska,North Slope,129,7.9,-0.36,14,8,20,-0.6,15,,,13,,11,9,12,41,34,48,670,7,1430,13,9,10603,Small,,,,,,
Alaska,Sitka,99,8.4,-0.79,11,7,14,-1.04,44,,,37,6,8,7,10,32,26,39,555,6,940,11,,8282,Small,,,,,,
Alaska,Wrangell,,7.7,-0.19,15,9,21,-0.48,48,,,44,5,9,8,10,34,27,42,119,5,320,15,,2064,Small,,,,,,
Alaska,Anchorage,4108,8.6,-0.96,10,7,13,-1.13,19,19,36,12,5,8,7,9,30,26,33,13337,5,32410,11,47,286075,Large,,,,,,
Alaska,Juneau,376,9,-1.3,10,6,13,-1.18,11,6,,25,5,8,7,9,33,28,38,613,2,3350,10,35,31555,Small,,,,,,
Alaska,Petersburg,,8.7,-1.04,11,6,16,-0.99,10,,,2,6,8,7,10,30,24,37,25,1,410,12,,3427,Small,,,,,,
Alaska,Ketchikan Gateway,211,8.7,-1.04,12,7,16,-0.9,17,10,,3,8,9,7,10,34,29,40,54,0,1740,13,,13738,Small,,,,,,
Alaska,Yakutat,,8.5,,26,17,35,,,,,,,11,9,12,33,25,41,1,0,80,13,,687,Small,,,,,,
Alaska,Skagway,,8.7,,9,5,13,,,,,,,8,7,9,33,26,41,1,0,160,13,,1095,Small,,,,,,
Alaska,Copper River,,,,20,12,28,,19,,,,4,9,8,10,33,26,40,,,430,17,,2674,Small,,,,,,
Alaska,Chugach,,,,8,5,11,,6,11,,1,4,8,7,9,30,24,37,,,770,11,,6769,Small,,,,,,
Alaska,Kusilvak,157,,0.42,37,24,49,2.16,,,,,,18,15,20,46,38,55,,,2110,25,,8001,Small,,,,,,
Alaska,Prince of Wales-Outer Ketchikan,,,,,,,,,,,,,,,,,,,,,,,,,Small,,,,,,
Alaska,Skagway-Hoonah-Angoon,,,,,,,,,,,,,,,,,,,,,,,,,Small,,,,,,
Alaska,Valdez-Cordova,,,,,,,,,,,,,,,,,,,,,,,,,Small,,,,,,
